country,eltype,year,vt,vote,reg,vapvt,vap,pop,invot,fhav,fhpr,fhcl,comp
Bahamas,Parliamentary,1987,87.9,90280.0,102713.0,63.49,142190.0,241000.0,,2.5,2.0,3.0,No
Bahamas,Parliamentary,1992,91.85,112057.0,122000.0,68.46,163680.0,264000.0,,1.5,1.0,2.0,No
Bahamas,Parliamentary,1997,91.71,119173.0,129946.0,67.92,175463.0,283005.0,0.7,1.5,1.0,2.0,No
Bahamas,Parliamentary,2002,90.03,130328.0,144758.0,69.69,187011.0,297852.0,0.9,1.0,1.0,1.0,No
Bahamas,Parliamentary,2007,92.13,138800.0,150654.0,69.19,200603.0,305655.0,0.8,1.0,1.0,1.0,No
Bahamas,Parliamentary,2012,90.78,156088.0,171932.0,67.31,231903.0,316182.0,,1.0,1.0,1.0,No
Bahrain,Parliamentary,1973,78.4,19509.0,24883.0,32.62,59800.0,230000.0,0.27,5.5,6.0,5.0,No
Bahrain,Parliamentary,2002,53.0,344500.0,650000.0,74.48,462535.0,714831.0,,5.0,5.0,5.0,No
Bahrain,Parliamentary,2006,73.6,217625.0,295686.0,37.22,584710.0,984393.0,,5.0,5.0,5.0,No
Bahrain,Parliamentary,2010,67.0,114570.0,171000.0,13.48,850180.0,1180080.0,,5.5,6.0,5.0,No
Bahrain,Parliamentary,2014,52.6,183949.0,349713.0,18.45,997149.0,1314089.0,,6.0,6.0,6.0,No
Bangladesh,Parliamentary,1973,54.91,19329683.0,35205642.0,55.01,35140800.0,73210000.0,1.4,3.0,2.0,4.0,No
Bangladesh,Parliamentary,1979,51.29,19676124.0,38363858.0,47.31,41588640.0,86643000.0,1.5,3.0,3.0,3.0,No
Bangladesh,Parliamentary,1986,60.31,28873540.0,47876979.0,59.16,48803040.0,101673000.0,0.8,4.5,4.0,5.0,No
Bangladesh,Parliamentary,1988,51.81,25832858.0,49863829.0,48.46,53311320.0,104532000.0,,4.5,4.0,5.0,No
Bangladesh,Parliamentary,1991,55.45,34477803.0,62181743.0,61.52,56038800.0,109880000.0,0.6,2.5,2.0,3.0,No
Bangladesh,Parliamentary,1996,75.6,42880564.0,56716935.0,64.57,66408120.0,122978000.0,0.8,3.0,2.0,4.0,No
Bangladesh,Parliamentary,2001,74.97,56185707.0,74946364.0,76.5,73445528.0,134477534.0,0.8,3.5,3.0,4.0,No
Bangladesh,Parliamentary,2008,85.26,69172649.0,81130973.0,78.93,87634867.0,151289991.0,0.9,4.5,5.0,4.0,No
Bangladesh,Parliamentary,2014,51.37,47262168.0,92007113.0,48.54,97373463.0,163654860.0,3.3,3.5,3.0,4.0,No
Bangladesh,Presidential,1978,,20885571.0,,,,82812761.0,1.69,4.0,4.0,4.0,No
Bangladesh,Presidential,1981,55.65,21677560.0,38951014.0,49.93,43419360.0,90457000.0,,5.5,6.0,5.0,No
Bangladesh,Presidential,1986,54.09,25916291.0,47912443.0,53.1,48803040.0,101673000.0,,4.5,4.0,5.0,No
Barbados,Parliamentary,1951,64.65,62020.0,95939.0,53.19,116600.0,212000.0,1.4,,,,No
Barbados,Parliamentary,1956,60.29,62274.0,103290.0,49.44,125950.0,229000.0,1.2,,,,No
Barbados,Parliamentary,1961,61.32,64090.0,104518.0,49.86,128541.0,233710.0,0.4,,,,No
Barbados,Parliamentary,1966,79.27,79258.0,99988.0,57.64,137500.0,250000.0,0.2,,,,No
Barbados,Parliamentary,1971,81.62,94019.0,115189.0,69.95,134400.0,240000.0,1.3,,,,No
Barbados,Parliamentary,1976,74.09,99463.0,134241.0,66.28,150060.0,246000.0,0.9,1.0,1.0,1.0,No
Barbados,Parliamentary,1981,71.58,119566.0,167029.0,74.73,160000.0,250000.0,0.9,1.0,1.0,1.0,No
Barbados,Parliamentary,1986,76.7,135562.0,176739.0,79.97,169510.0,253000.0,0.7,1.0,1.0,1.0,No
Barbados,Parliamentary,1991,63.72,121696.0,191000.0,67.38,180600.0,258000.0,1.1,1.0,1.0,1.0,No
Barbados,Parliamentary,1994,60.25,124121.0,206000.0,66.05,187920.0,261000.0,,1.0,1.0,1.0,No
Barbados,Parliamentary,1999,63.1,128484.0,203621.0,68.64,187188.0,269029.0,,1.0,1.0,1.0,No
Barbados,Parliamentary,2003,56.88,124463.0,218811.0,68.13,182672.0,277547.0,0.2,1.0,1.0,1.0,No
Barbados,Parliamentary,2008,63.54,149633.0,235510.0,69.41,215586.0,283498.0,0.7,1.0,1.0,1.0,No
Barbados,Parliamentary,2013,65.05,153204.0,235510.0,69.78,219561.0,288725.0,,1.0,1.0,1.0,No
Belarus,Parliamentary,1995,56.4,4199431.0,7445800.0,54.88,7652340.0,10341000.0,,5.0,5.0,5.0,No
Belarus,Parliamentary,2000,61.08,4430878.0,7254752.0,58.24,7607585.0,10142706.0,,6.0,6.0,6.0,No
Belarus,Parliamentary,2004,90.14,6297600.0,6986163.0,82.43,7640118.0,10310520.0,3.2,6.5,7.0,6.0,No
Belarus,Parliamentary,2008,76.74,5384647.0,7016711.0,69.56,7741235.0,9685768.0,2.1,6.5,7.0,6.0,No
Belarus,Parliamentary,2012,74.2,5210676.0,7022221.0,65.92,7904831.0,9643566.0,,6.5,7.0,6.0,No
Belarus,Presidential,1994,69.9,5032800.0,7200000.0,65.68,7662700.0,10355000.0,,4.0,4.0,4.0,No
Belarus,Presidential,2001,83.86,6169087.0,7356343.0,81.34,7584762.0,10112278.0,2.2,6.0,6.0,6.0,No
Belarus,Presidential,2006,92.94,6630653.0,7133978.0,86.18,7694370.0,10300483.0,5.2,6.5,7.0,6.0,No
Belarus,Presidential,2010,90.65,6441031.0,7105660.0,81.66,7887472.0,9612632.0,,6.5,7.0,6.0,No
Belarus,Presidential,2015,87.22,6113013.0,7008682.0,78.08,7828768.0,9589689.0,0.8,6.5,7.0,6.0,No
Belgium,EU Parliament,1979,91.36,6212731.0,6800584.0,86.69,7166956.0,9841654.0,12.39,1.0,1.0,1.0,Yes
Belgium,EU Parliament,1984,92.09,6424186.0,6975855.0,87.35,7354192.0,9853023.0,11.0,1.0,1.0,1.0,Yes
Belgium,EU Parliament,1989,90.73,6438738.0,7096273.0,84.98,7577049.0,9927612.0,8.38,1.0,1.0,1.0,Yes
Belgium,EU Parliament,1994,90.66,6537968.0,7211311.0,84.03,7780372.0,10100631.0,8.74,1.0,1.0,1.0,Yes
Belgium,EU Parliament,1999,91.05,6686220.0,7343464.0,84.51,7912208.0,10213752.0,6.93,1.5,1.0,2.0,Yes
Belgium,EU Parliament,2004,90.81,6857986.0,7552240.0,84.56,8110168.0,10396421.0,5.37,1.0,1.0,1.0,Yes
Belgium,EU Parliament,2009,90.39,7014415.0,7760436.0,83.94,8356666.0,10414336.0,6.31,1.0,1.0,1.0,Yes
Belgium,EU Parliament,2014,89.64,7125161.0,7948854.0,86.82,8206928.0,10449361.0,6.1,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1946,90.3,2460609.0,2724796.0,42.01,5856900.0,8367000.0,3.86,,,,Yes
Belgium,Parliamentary,1949,94.41,5320263.0,5635452.0,88.23,6029800.0,8614000.0,5.4,,,,Yes
Belgium,Parliamentary,1950,92.62,5219276.0,5635452.0,86.31,6047300.0,8639000.0,5.3,,,,Yes
Belgium,Parliamentary,1954,93.18,5463130.0,5863092.0,88.5,6173300.0,8819000.0,5.5,,,,Yes
Belgium,Parliamentary,1958,93.62,5575127.0,5954858.0,89.25,6246570.0,9053000.0,4.9,,,,Yes
Belgium,Parliamentary,1961,92.34,5573861.0,6036165.0,87.96,6336960.0,9184000.0,5.5,,,,Yes
Belgium,Parliamentary,1965,91.58,5578876.0,6091534.0,88.02,6338200.0,9460000.0,7.1,,,,Yes
Belgium,Parliamentary,1968,90.02,5554652.0,6170167.0,86.18,6445400.0,9620000.0,6.8,,,,Yes
Belgium,Parliamentary,1971,91.55,5741270.0,6271240.0,88.61,6478900.0,9670000.0,8.0,,,,Yes
Belgium,Parliamentary,1974,90.35,5711996.0,6322227.0,85.71,6664000.0,9800000.0,7.9,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1977,95.07,6005195.0,6316292.0,89.91,6678960.0,9822000.0,7.2,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1978,94.87,6039916.0,6366652.0,87.78,6881000.0,9830000.0,8.4,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1981,94.56,6504056.0,6878141.0,94.31,6896400.0,9852000.0,7.4,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1985,93.59,6552234.0,7001297.0,86.32,7590660.0,9858000.0,7.4,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1987,93.38,6573045.0,7039250.0,86.49,7599900.0,9870000.0,6.6,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1991,92.71,6623897.0,7144884.0,85.1,7783620.0,9979000.0,7.0,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1995,91.15,6562149.0,7199440.0,83.2,7887360.0,10112000.0,7.5,1.0,1.0,1.0,Yes
Belgium,Parliamentary,1999,90.57,6650796.0,7343466.0,83.14,7999572.0,10199967.0,6.86,1.5,1.0,2.0,Yes
Belgium,Parliamentary,2003,91.63,6934605.0,7570637.0,85.95,8070793.0,10274595.0,4.3,1.0,1.0,1.0,Yes
Belgium,Parliamentary,2007,91.08,7032077.0,7720796.0,86.0,8176805.0,10392226.0,5.13,1.0,1.0,1.0,Yes
Belgium,Parliamentary,2010,89.22,6929855.0,7767552.0,84.65,8186446.0,10423493.0,5.8,1.0,1.0,1.0,Yes
Belgium,Parliamentary,2014,89.37,7157498.0,8008776.0,87.21,8206762.0,10449361.0,5.78,1.0,1.0,1.0,Yes
Belize,Parliamentary,1979,89.78,44971.0,50091.0,68.85,65320.0,142000.0,1.2,,,,No
Belize,Parliamentary,1984,74.96,48311.0,64447.0,65.89,73320.0,156000.0,1.4,1.5,2.0,1.0,No
Belize,Parliamentary,1989,72.62,59954.0,82556.0,66.86,89670.0,183000.0,1.7,1.5,1.0,2.0,No
Belize,Parliamentary,1993,74.59,70465.0,94470.0,68.75,102500.0,205000.0,,1.0,1.0,1.0,No
Belize,Parliamentary,1998,90.1,81090.0,90000.0,65.74,123349.0,238500.0,,1.0,1.0,1.0,No
Belize,Parliamentary,2003,79.52,100353.0,126202.0,75.08,133669.0,262299.0,0.8,1.5,1.0,2.0,No
Belize,Parliamentary,2008,77.18,121168.0,156993.0,76.54,158314.0,294385.0,0.72,1.5,1.0,2.0,No
Belize,Parliamentary,2012,73.18,130303.0,178054.0,66.43,196152.0,327719.0,,1.5,1.0,2.0,No
Belize,Parliamentary,2015,72.69,142900.0,196587.0,70.21,203524.0,347369.0,1.02,1.5,1.0,2.0,No
Benin,Parliamentary,1991,51.68,1069367.0,2069343.0,46.54,2297830.0,4889000.0,3.7,2.5,2.0,3.0,No
Benin,Parliamentary,1995,75.8,1922553.0,2536234.0,73.65,2610380.0,5554000.0,2.4,2.0,2.0,2.0,No
Benin,Parliamentary,1999,70.11,1776108.0,2533399.0,65.85,2697063.0,6009635.0,,2.5,2.0,3.0,No
Benin,Parliamentary,2003,55.9,1724093.0,3084422.0,52.2,3302946.0,6787625.0,13.8,2.0,2.0,2.0,No
Benin,Parliamentary,2007,58.69,2347600.0,4000000.0,61.83,3796635.0,7862944.0,,2.0,2.0,2.0,No
Benin,Parliamentary,2011,56.12,2037004.0,3629837.0,44.77,4550388.0,9325032.0,,2.0,2.0,2.0,No
Benin,Parliamentary,2015,65.91,2946042.0,4470000.0,56.69,5196462.0,10448647.0,,2.0,2.0,2.0,No
Benin,Presidential,1991,64.07,1315123.0,2052638.0,57.23,2297830.0,4889000.0,0.8,2.5,2.0,3.0,No
Benin,Presidential,1996,77.6,1958855.0,2524262.0,72.9,2686990.0,5717000.0,2.79,2.0,2.0,2.0,No
Benin,Presidential,2001,54.17,1707604.0,3152365.0,55.35,3085115.0,6395919.0,10.18,2.5,3.0,2.0,No
Benin,Presidential,2006,69.54,2725634.0,3919550.0,74.23,3671785.0,7862944.0,2.55,2.0,2.0,2.0,No
Benin,Presidential,2011,84.82,3111833.0,3668558.0,68.39,4550388.0,9325032.0,4.48,2.0,2.0,2.0,No
Bermuda,Parliamentary,1989,74.32,23160.0,31162.0,,,58238.0,,,,,No
Bermuda,Parliamentary,1993,77.6,26776.0,34506.0,,,59241.0,,,,,No
Bermuda,Parliamentary,1998,81.44,29378.0,36073.0,,,61981.0,,,,,No
Bermuda,Parliamentary,2003,74.95,29472.0,39324.0,60.19,48968.0,63960.0,0.3,,,,No
Bermuda,Parliamentary,2007,75.65,32028.0,42337.0,62.73,51057.0,66536.0,,,,,No
Bermuda,Parliamentary,2012,70.7,30862.0,43652.0,57.22,53937.0,69080.0,,,,,No
Bhutan,Parliamentary,2007,54.87,147789.0,269337.0,37.16,397674.0,672425.0,,5.5,6.0,5.0,No
Bhutan,Parliamentary,2008,79.45,253012.0,318465.0,61.81,409315.0,634982.0,,5.5,6.0,5.0,No
Bhutan,Parliamentary,2013,66.13,252485.0,381790.0,53.96,467896.0,725296.0,,4.5,4.0,5.0,No
Bolivia,Parliamentary,1956,85.04,958016.0,1126528.0,63.71,1503740.0,3269000.0,2.7,,,,Yes
Bolivia,Parliamentary,1958,,460340.0,,30.45,1512000.0,3360000.0,2.6,,,,Yes
Bolivia,Parliamentary,1960,75.98,987730.0,1300000.0,63.57,1553850.0,3453000.0,2.1,,,,Yes
Bolivia,Parliamentary,1962,,1067877.0,,66.87,1597050.0,3549000.0,2.0,,,,Yes
Bolivia,Parliamentary,1964,91.91,1297319.0,1411560.0,78.92,1643850.0,3653000.0,12.2,,,,Yes
Bolivia,Parliamentary,1966,86.57,1099994.0,1270611.0,54.93,2002500.0,4450000.0,8.2,,,,Yes
Bolivia,Parliamentary,1978,102.62,1971968.0,1921556.0,82.62,2386800.0,5304000.0,2.7,4.0,5.0,3.0,Yes
Bolivia,Parliamentary,1979,90.5,1693233.0,1871070.0,69.05,2452050.0,5449000.0,13.2,3.0,3.0,3.0,Yes
Bolivia,Parliamentary,1980,74.32,1489484.0,2004284.0,59.11,2520000.0,5600000.0,12.1,6.0,7.0,5.0,Yes
Bolivia,Parliamentary,1985,81.97,1728365.0,2108458.0,65.15,2652750.0,5895000.0,13.0,2.5,2.0,3.0,Yes
Bolivia,Parliamentary,1989,73.66,1573790.0,2136587.0,50.98,3086880.0,6431000.0,10.0,2.5,2.0,3.0,Yes
Bolivia,Parliamentary,1993,72.16,1731309.0,2399197.0,50.01,3461850.0,7065000.0,4.8,2.5,2.0,3.0,Yes
Bolivia,Parliamentary,1997,71.36,2321117.0,3252501.0,64.54,3596616.0,7340032.0,6.2,2.0,1.0,3.0,Yes
Bolivia,Parliamentary,2002,72.06,2994065.0,4155055.0,66.82,4480674.0,8274463.0,7.2,2.5,2.0,3.0,Yes
Bolivia,Parliamentary,2005,84.51,3102417.0,3671152.0,63.44,4890318.0,8857870.0,7.4,3.0,3.0,3.0,Yes
Bolivia,Parliamentary,2009,94.55,4859440.0,5139554.0,85.55,5680498.0,9775246.0,2.48,3.0,3.0,3.0,Yes
Bolivia,Parliamentary,2014,87.45,5224109.0,5973901.0,86.19,6060980.0,10631486.0,20.8,3.0,3.0,3.0,Yes
Bolivia,Presidential,1956,85.04,958016.0,1126528.0,63.71,1503740.0,3269000.0,3.7,,,,Yes
Bolivia,Presidential,1960,75.98,987730.0,1300000.0,63.57,1553850.0,3453000.0,2.1,,,,Yes
Bolivia,Presidential,1964,91.91,1297319.0,1411560.0,78.92,1643850.0,3653000.0,12.2,,,,Yes
Bolivia,Presidential,1966,86.57,1099994.0,1270611.0,54.93,2002500.0,4450000.0,8.2,,,,Yes
Bolivia,Presidential,1978,102.62,1971968.0,1921556.0,82.62,2386800.0,5304000.0,2.7,4.0,5.0,3.0,Yes
Bolivia,Presidential,1979,90.5,1693233.0,1871070.0,69.05,2452050.0,5449000.0,12.2,3.0,3.0,3.0,Yes
Bolivia,Presidential,1980,74.32,1489484.0,2004284.0,59.11,2520000.0,5600000.0,12.1,6.0,7.0,5.0,Yes
Bolivia,Presidential,1985,81.97,1728365.0,2108458.0,65.15,2652750.0,5895000.0,13.0,2.5,2.0,3.0,Yes
Bolivia,Presidential,1989,73.16,1563182.0,2136587.0,50.64,3086880.0,6431000.0,10.0,2.5,2.0,3.0,Yes
Bolivia,Presidential,1993,72.16,1731309.0,2399197.0,50.01,3461850.0,7065000.0,,2.5,2.0,3.0,Yes
